Feature Type,accdec,Classification Accuracy (%),,,,,,,,
Domain Specific ,0.5578,55.78,,,,,,,,
Domain Specific ,0.5518,55.18,,,,,,,,
Domain Specific ,0.5211,52.11,,,,,,,,
Domain Specific ,0.5788,57.88,,,,,,,,
Domain Specific ,0.5769,57.69,,,,,,,,
Domain Specific ,0.531,53.1,,,,,,,,
Domain Specific ,0.6241,62.41,,,,,,,,
Domain Specific ,0.6625,66.25,,,,,,,,
Domain Specific ,0.614,61.4,,,,,,,,
Domain Specific ,0.6129,61.29,,,,,,,,
Pearson Correlated,0.215894,21.5894,,,,,,,,
Pearson Correlated,0.205369,20.5369,,,,,,,,
Pearson Correlated,0.219632,21.9632,,,,,,,,
Pearson Correlated,0.157195,15.7195,,,,,,,,
Pearson Correlated,0.181472,18.1472,,,,,,,,
Pearson Correlated,0.236544,23.6544,,,,,,,,
Pearson Correlated,0.21146,21.146,,,,,,,,
Pearson Correlated,0.171053,17.1053,,,,,,,,
Pearson Correlated,0.217514,21.7514,,,,,,,,
Pearson Correlated,0.244073,24.4073,,,,,,,,
